genome,completeness,contamination
bin_s10.cct36,59.89,3.52
bin_s13.cct32,98.5,1.54
bin_s13.cct72,78.45,1.25
bin_s13.mtb14,97.42,2.47
bin_s13.mtb41_sub,56.65,6.86
bin_s13.mtb55,88.12,2.08
bin_s13.mxb16,98.72,0.8
bin_s13.mxb21_sub,28.69,9.21
bin_s13.vmb19,99.81,0.15
bin_s13.vmb53,89.4,0.99
bin_s14.cct55_sub,44.52,1.84
bin_s14.cct6,98.18,0.79
bin_s14.cct67_sub,97.78,12.59
bin_s14.mtb11,99.53,0.07
bin_s14.mtb51,96.41,0
bin_s14.mtb52,93.26,0
bin_s14.mxb11,96.47,2.21
bin_s14.mxb14_sub,71.01,9.86
bin_s14.mxb25_sub,97.67,5.09
bin_s14.mxb34_sub,51.79,13.52
bin_s14.vmb0,98.12,1.58
bin_s18.mtb24_sub,94.91,1.77
bin_s18.mtb29,91.95,6.43
bin_s18.mtb8_sub,93.13,3.32
bin_s18.mxb12_sub,37.07,13.27
bin_s18.mxb2,99.28,0.77
bin_s19.cct18_sub,100,0.54
bin_s19.mtb13,78.16,6.91
bin_s19.mtb52,96.8,2.19
bin_s19.vmb15,97.58,1.42
bin_s19.vmb3,95.27,0
bin_s2.cct8_sub,48.6,6.31
bin_s2.mtb4,98.61,0.55
bin_s2.mxb1,38.49,1.23
bin_s2.mxb45_sub,46.34,1.85
bin_s21.cct14_sub,99.41,7.61
bin_s21.cct28,68.36,2.76
bin_s21.cct40,89.52,4.71
bin_s21.cct50_sub,77.66,12.35
bin_s21.cct65_sub,92.25,1.1
bin_s21.mtb27_sub,93.2,2.79
bin_s21.mtb58,49.92,1.53
bin_s21.mtb63,98.29,0
bin_s21.mxb1,53.52,0.21
bin_s21.mxb14,98.68,4.53
bin_s21.mxb20_sub,92.13,5.71
bin_s21.mxb8,98.65,0.45
bin_s22.cct46,97.65,0
bin_s23.cct16,98.13,11.74
bin_s23.cct35,98.93,1.8
bin_s23.cct40,99.19,3.87
bin_s23.cct42,96.36,0.12
bin_s23.cct8,98.66,5.59
bin_s23.vmb19,98.51,0
bin_s23.vmb39,89.94,3.46
bin_s24.cct14,78.76,0.1
bin_s24.cct31,88.32,19.25
bin_s24.mtb2_sub,94.52,41.09
bin_s24.vmb3,92.82,0.55
bin_s27.mtb27,92.61,4.28
bin_s27.mtb32,99.34,0.05
bin_s27.mtb39,97.65,0.45
bin_s27.mxb11_sub,76.35,6.29
bin_s27.vmb32,96.03,3.86
bin_s27.vmb37,100,1.73
bin_s27.vmb3_sub,97.84,0
bin_s28.cct16,96.63,1.51
bin_s28.cct47,100,2.2
bin_s28.cct48,87.96,0.6
bin_s28.cct63_sub,43.6,6.68
bin_s28.mtb8,80.97,0
bin_s28.mxb31,97.69,8.32
bin_s28.mxb37_sub,62.2,3.06
bin_s28.vmb45,92.25,0.75
bin_s28.vmb7,87.92,0
bin_s3.mtb7,99.45,0.18
bin_s31.cct37_sub,91.16,5.85
bin_s31.cct6_sub,95.21,9.09
bin_s31.mxb16_sub,39.3,1.21
bin_s31.vmb7,97.99,6.04
bin_s34.cct25,100,2.72
bin_s34.cct27,97.2,0
bin_s34.cct32,73.2,1.26
bin_s34.cct50,100,3.97
bin_s34.cct52,99.34,0.63
bin_s34.mtb22_sub,96.15,0.77
bin_s34.mxb8,98.33,2.69
bin_s35.cct57_sub,60.34,2.93
bin_s35.cct60,91.26,28.05
bin_s35.mxb6_sub,72.18,21.41
bin_s36.mtb18,100,1.72
bin_s36.mtb42,95.81,1.71
bin_s36.mxb13,100,1.63
bin_s36.vmb0,99.65,0.53
bin_s4.cct16_sub,90.39,14.33
bin_s4.cct33,97.44,2.18
bin_s4.mtb50,92.39,4.7
bin_s4.vmb27,82.14,1.98
bin_s4.vmb43,84.56,2.35
bin_s5.cct0_sub,96.17,10.16
bin_s5.cct41_sub,97.33,3.82
bin_s5.cct46,78.23,2.53
bin_s5.cct63,94.35,0
bin_s5.cct76,99.34,0
bin_s5.mtb7,99.43,3.39
bin_s6.cct39,98.08,2.71
bin_s6.mtb27,41.25,2.33
bin_s6.mtb31_sub,74.69,13.19
bin_s6.mtb47,98.73,6.41
bin_s6.mtb55,97.99,4.92
bin_s6.mtb9,100,0.72
bin_s6.mxb12,100,1.68
bin_s6.vmb19,98.64,0.15
bin_s6.vmb27,79.03,0
