genome,completeness,contamination
bin_Aruba.38,100.0,0.0
bin_Aruba.18,100.0,0.0
bin_Aruba.2,99.93,0.0
bin_Aruba.64,99.40,0.299
bin_Aruba.20,99.13,1.616
bin_Aruba.6,98.96,0.460
bin_Aruba.57,98.96,2.311
bin_Aruba.65,98.41,0.293
bin_Aruba.48,97.98,2.013
bin_Aruba.31,97.98,0.671
bin_Aruba.39,97.58,0.806
bin_Aruba.21,96.77,0.0
bin_Aruba.16,96.45,3.969
bin_Aruba.29,96.14,0.680
bin_Aruba.26,95.97,0.743
bin_Aruba.61,95.86,4.259
bin_Aruba.25,95.79,0.681
bin_Aruba.9,95.68,2.264
bin_Aruba.52,94.11,1.204
bin_Aruba.17,93.98,4.507
bin_Aruba.60,93.73,4.143
bin_Aruba.28,93.28,0.335
bin_Aruba.55,92.00,7.422
bin_Aruba.11,91.36,2.962
bin_Aruba.34,90.82,0.743
bin_Aruba.43,90.64,4.261
bin_Aruba.51,90.52,2.761
bin_Aruba.12,88.84,2.901
bin_Aruba.47,87.20,2.142
bin_Aruba.8,86.87,3.662
bin_Aruba.10,86.29,1.646
bin_Aruba.13,86.28,0.843
bin_Aruba.4,85.90,2.769
bin_Aruba.58,85.50,3.048
bin_Aruba.46,85.49,0.619
bin_Aruba.54,84.96,0.699
bin_Aruba.7,84.91,3.012
bin_Aruba.23,80.98,0.850
bin_Aruba.3,77.28,3.557
bin_Aruba.53,75.43,0.0
bin_Aruba.49,74.73,2.553
bin_Aruba.14,73.34,7.526
bin_Aruba.36,73.17,1.643
bin_Aruba.40,71.91,1.070
bin_Aruba.32,71.66,1.872
bin_Aruba.15,71.23,0.034
bin_Aruba.5,69.98,0.915
bin_Aruba.63,69.14,2.016
bin_Aruba.22,68.96,4.324
bin_Aruba.24,68.17,2.919
bin_Aruba.27,65.36,7.075
bin_Aruba.59,63.28,2.688
bin_Aruba.62,60.09,1.789
bin_Aruba.37,59.53,2.135
bin_Aruba.33,59.09,1.303
bin_Aruba.1,58.83,1.685
bin_Aruba.50,57.27,3.103
bin_Aruba.19,57.17,0.877
bin_Aruba.35,55.45,0.094
bin_Aruba.41,52.75,7.426
bin_Aruba.30,52.61,0.843
bin_Aruba.44,52.48,2.900
bin_Aruba.45,51.37,1.724
bin_Brazil.158,100.0,0.0
bin_Brazil.32,99.41,0.0
bin_Brazil.58,99.40,0.0
bin_Brazil.22,99.25,0.187
bin_Brazil.69,98.88,1.946
bin_Brazil.140,98.87,2.247
bin_Brazil.68,98.77,0.256
bin_Brazil.35,98.65,1.047
bin_Brazil.117,98.10,2.373
bin_Brazil.43,97.58,0.187
bin_Brazil.111,97.54,0.882
bin_Brazil.92,97.39,1.25
bin_Brazil.124,97.37,0.544
bin_Brazil.95,97.28,2.106
bin_Brazil.18,97.18,0.117
bin_Brazil.63,97.06,0.615
bin_Brazil.27,96.93,0.928
bin_Brazil.138,96.92,0.384
bin_Brazil.93,96.83,0.158
bin_Brazil.121,96.41,0.880
bin_Brazil.170,96.30,2.593
bin_Brazil.72,95.93,0.0
bin_Brazil.160,95.90,1.25
bin_Brazil.1,95.89,0.069
bin_Brazil.103,95.87,0.310
bin_Brazil.20,95.82,2.237
bin_Brazil.146,95.69,0.242
bin_Brazil.99,95.53,2.125
bin_Brazil.129,95.30,0.671
bin_Brazil.96,95.24,1.703
bin_Brazil.73,95.16,1.075
bin_Brazil.45,95.07,5.333
bin_Brazil.71,95.0,0.317
bin_Brazil.161,94.74,2.315
bin_Brazil.28,94.73,0.579
bin_Brazil.84,94.59,0.0
bin_Brazil.44,94.35,0.335
bin_Brazil.3,94.35,0.743
bin_Brazil.106,94.34,0.712
bin_Brazil.51,94.09,0.0
bin_Brazil.57,94.08,1.093
bin_Brazil.75,94.00,1.030
bin_Brazil.144,93.79,2.222
bin_Brazil.150,93.60,2.226
bin_Brazil.159,93.25,2.247
bin_Brazil.134,93.22,1.698
bin_Brazil.169,93.18,0.378
bin_Brazil.40,93.10,2.891
bin_Brazil.48,92.99,0.864
bin_Brazil.135,92.61,0.061
bin_Brazil.126,92.30,0.349
bin_Brazil.116,92.29,3.222
bin_Brazil.64,92.18,0.677
bin_Brazil.98,92.01,0.780
bin_Brazil.105,91.93,1.898
bin_Brazil.110,91.67,2.232
bin_Brazil.94,91.66,2.994
bin_Brazil.89,91.07,3.375
bin_Brazil.91,91.01,0.0
bin_Brazil.152,90.49,2.146
bin_Brazil.76,90.22,3.333
bin_Brazil.82,90.0,0.784
bin_Brazil.65,89.97,1.188
bin_Brazil.154,89.81,2.915
bin_Brazil.143,89.67,0.598
bin_Brazil.168,89.48,1.271
bin_Brazil.8,89.36,1.265
bin_Brazil.47,89.21,0.894
bin_Brazil.164,89.08,6.024
bin_Brazil.11,89.02,1.939
bin_Brazil.81,88.76,2.808
bin_Brazil.113,88.36,2.156
bin_Brazil.163,88.27,0.0
bin_Brazil.139,87.99,1.911
bin_Brazil.6,87.82,0.447
bin_Brazil.145,87.33,0.854
bin_Brazil.88,87.18,1.875
bin_Brazil.157,87.13,1.195
bin_Brazil.101,87.10,0.294
bin_Brazil.128,86.54,1.928
bin_Brazil.53,86.29,3.411
bin_Brazil.17,86.17,2.037
bin_Brazil.36,86.01,0.0
bin_Brazil.61,85.74,0.967
bin_Brazil.165,85.51,0.632
bin_Brazil.52,85.14,2.594
bin_Brazil.13,85.04,0.019
bin_Brazil.149,85.03,2.257
bin_Brazil.177,85.02,1.677
bin_Brazil.120,84.96,0.506
bin_Brazil.171,84.09,1.650
bin_Brazil.83,83.98,1.698
bin_Brazil.166,83.90,1.582
bin_Brazil.30,83.68,1.196
bin_Brazil.137,83.50,1.700
bin_Brazil.122,83.32,0.268
bin_Brazil.54,83.21,2.007
bin_Brazil.107,82.72,2.324
bin_Brazil.50,82.51,1.006
bin_Brazil.132,82.25,1.973
bin_Brazil.56,81.66,1.054
bin_Brazil.172,81.54,1.949
bin_Brazil.49,81.26,1.489
bin_Brazil.97,81.25,2.254
bin_Brazil.2,81.22,1.815
bin_Brazil.100,80.47,1.904
bin_Brazil.66,80.43,1.461
bin_Brazil.4,80.09,5.015
bin_Brazil.115,80.02,2.320
bin_Brazil.9,79.73,0.097
bin_Brazil.67,79.43,3.712
bin_Brazil.12,79.38,2.119
bin_Brazil.21,79.30,2.419
bin_Brazil.87,78.18,1.968
bin_Brazil.55,77.99,0.212
bin_Brazil.153,77.49,1.151
bin_Brazil.15,77.23,1.242
bin_Brazil.80,77.14,0.628
bin_Brazil.59,76.92,2.904
bin_Brazil.70,76.88,1.051
bin_Brazil.60,76.27,0.0
bin_Brazil.130,76.27,3.595
bin_Brazil.156,76.15,2.782
bin_Brazil.25,75.80,2.449
bin_Brazil.118,75.54,3.779
bin_Brazil.136,75.22,2.334
bin_Brazil.38,74.70,1.522
bin_Brazil.104,74.69,2.021
bin_Brazil.37,74.32,1.666
bin_Brazil.151,74.31,3.448
bin_Brazil.86,74.26,2.104
bin_Brazil.77,73.79,0.316
bin_Brazil.109,73.65,2.189
bin_Brazil.5,72.96,0.555
bin_Brazil.7,72.59,1.103
bin_Brazil.24,71.93,1.323
bin_Brazil.14,69.67,2.807
bin_Brazil.90,69.54,0.679
bin_Brazil.31,68.86,2.848
bin_Brazil.112,68.84,0.806
bin_Brazil.119,67.55,2.659
bin_Brazil.39,67.26,1.347
bin_Brazil.173,67.03,3.626
bin_Brazil.33,66.40,0.835
bin_Brazil.78,66.30,0.0
bin_Brazil.127,66.16,0.0
bin_Brazil.19,65.41,2.183
bin_Brazil.147,65.31,1.008
bin_Brazil.85,65.29,1.698
bin_Brazil.175,65.28,2.573
bin_Brazil.34,64.58,2.985
bin_Brazil.46,63.85,7.377
bin_Brazil.108,63.54,1.552
bin_Brazil.23,62.88,0.223
bin_Brazil.148,62.37,3.644
bin_Brazil.162,60.21,2.279
bin_Brazil.174,59.90,0.584
bin_Brazil.167,59.79,6.896
bin_Brazil.42,59.59,0.194
bin_Brazil.102,59.25,1.476
bin_Brazil.182,58.07,1.724
bin_Brazil.16,57.65,0.894
bin_Brazil.125,57.47,1.239
bin_Brazil.178,56.03,0.0
bin_Brazil.62,55.54,0.0
bin_Brazil.176,55.54,0.318
bin_Brazil.26,55.41,2.125
bin_Brazil.181,55.19,2.060
bin_Brazil.179,55.0,0.0
bin_Brazil.10,54.53,0.736
bin_Brazil.41,53.83,0.259
bin_Brazil.131,51.27,9.716
bin_Brazil.180,50.93,0.793
bin_Brazil.114,50.81,3.508
bin_Brazil.142,50.67,1.398
bin_CaboVerde.48,99.91,0.0
bin_CaboVerde.16,99.45,0.549
bin_CaboVerde.3,99.19,0.403
bin_CaboVerde.57,98.59,0.549
bin_CaboVerde.60,98.16,0.261
bin_CaboVerde.24,97.84,0.993
bin_CaboVerde.20,97.84,0.905
bin_CaboVerde.37,97.44,0.576
bin_CaboVerde.19,96.64,1.139
bin_CaboVerde.9,96.55,0.496
bin_CaboVerde.14,95.35,0.059
bin_CaboVerde.21,94.84,3.368
bin_CaboVerde.38,94.56,2.215
