user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings
Sa_bin.10.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	71.81	11	0.822275987	N/A
Sa_bin.100.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella_A;s__	N/A	N/A	N/A	N/A	N/A	GCF_000235505.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella_A;s__Hungatella_A hathewayi_A	82.26	0.57	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	93.47	11	0.975918859	N/A
Sa_bin.102.fa	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	94.22	11	0.913103321	N/A
Sa_bin.103.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	ANI	N/A	"GCA_900762515.1, s__Odoribacter sp900762515, 95.0, 77.99, 0.24; GCF_009935865.1, s__Odoribacter sp009935865, 95.0, 77.88, 0.28; GCA_900548135.1, s__Odoribacter sp900548135, 95.0, 77.85, 0.27; GCF_000190535.1, s__Odoribacter splanchnicus, 95.0, 77.8, 0.24; GCA_900544025.1, s__Odoribacter sp900544025, 95.0, 77.21, 0.16; GCA_900541415.1, s__Odoribacter sp900541415, 95.0, 77.15, 0.18; GCF_900091655.1, s__Odoribacter massiliensis, 95.0, 76.88, 0.12; GCF_000243215.1, s__Odoribacter laneus, 95.0, 76.38, 0.12; GCA_002293375.1, s__Odoribacter sp002293375, 95.0, 75.6, 0.05"	79.41	11	0.978739725	N/A
Sa_bin.105.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	N/A	N/A	N/A	N/A	N/A	GCA_004552725.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp004552725	76.99	0.11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	taxonomic classification defined by topology and ANI	N/A	"GCA_003979155.1, s__CAG-873 sp003979155, 95.0, 77.52, 0.08; GCF_011959565.1, s__CAG-873 sp011959565, 95.0, 77.35, 0.1; GCA_900759825.1, s__CAG-873 sp900759825, 95.0, 77.28, 0.19; GCA_002478045.1, s__CAG-873 sp002478045, 95.0, 77.01, 0.07; GCA_009775535.1, s__CAG-873 sp009775535, 95.0, 76.92, 0.04; GCA_900550395.1, s__CAG-873 sp900550395, 95.0, 76.89, 0.15; GCA_009775225.1, s__CAG-873 sp009775225, 95.0, 76.86, 0.15; GCA_900548975.1, s__CAG-873 sp900548975, 95.0, 76.84, 0.16; GCA_002491245.1, s__CAG-873 sp002491245, 95.0, 76.75, 0.09; GCA_009775265.1, s__CAG-873 sp009775265, 95.0, 76.74, 0.12; GCA_004552485.1, s__CAG-873 sp004552485, 95.0, 76.7, 0.13; GCA_001689415.1, s__CAG-873 sp001689415, 95.0, 76.68, 0.15; GCA_004553485.1, s__CAG-873 sp004553485, 95.0, 76.65, 0.14; GCA_002493945.1, s__CAG-873 sp002493945, 95.0, 76.6, 0.16; GCA_900541865.1, s__CAG-873 sp900541865, 95.0, 76.59, 0.15; GCA_004554255.1, s__CAG-873 sp004554255, 95.0, 76.59, 0.07; GCA_900554265.1, s__CAG-873 sp900554265, 95.0, 76.57, 0.12; GCA_009775275.1, s__CAG-873 sp009775275, 95.0, 76.47, 0.16; GCA_009775125.1, s__CAG-873 sp001689665, 95.0, 76.46, 0.15; GCA_002633115.1, s__CAG-873 sp002633115, 95.0, 76.43, 0.11; GCA_009775135.1, s__CAG-873 sp009775135, 95.0, 76.41, 0.12; GCA_900554715.1, s__CAG-873 sp900554715, 95.0, 76.36, 0.08; GCA_900540625.1, s__CAG-873 sp900540625, 95.0, 76.34, 0.07; GCA_002490635.1, s__CAG-873 sp002490635, 95.0, 76.25, 0.12; GCF_900755985.1, s__CAG-873 sp900755985, 95.0, 76.24, 0.07; GCA_009775195.1, s__CAG-873 sp009775195, 95.0, 76.23, 0.17; GCA_900555715.1, s__CAG-873 sp900555715, 95.0, 76.02, 0.07; GCA_001701165.1, s__CAG-873 sp001701165, 95.0, 76.01, 0.07; GCA_900759845.1, s__CAG-873 sp900759845, 95.0, 75.96, 0.08"	54.83	11	0.969918859	N/A
Sa_bin.106.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	N/A	N/A	N/A	N/A	N/A	GCA_900548205.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp900548205	77.07	0.17	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	taxonomic classification defined by topology and ANI	N/A	"GCF_001940165.1, s__Roseburia sp001940165, 95.0, 77.58, 0.08; GCA_003483745.1, s__Roseburia sp003483745, 95.0, 77.52, 0.16; GCF_900537995.1, s__Roseburia intestinalis, 95.0, 77.51, 0.17; GCA_900756925.1, s__Roseburia sp900756925, 95.0, 77.51, 0.13; GCA_004562005.1, s__Roseburia sp004562005, 95.0, 77.46, 0.11; GCF_000174195.1, s__Roseburia inulinivorans, 95.0, 77.44, 0.11; GCF_000225345.1, s__Roseburia hominis, 95.0, 77.42, 0.17; GCF_003470905.1, s__Roseburia sp003470905, 95.0, 77.38, 0.15; GCA_900542495.1, s__Roseburia sp900542495, 95.0, 77.12, 0.12; GCA_900753715.1, s__Roseburia sp900753715, 95.0, 77.01, 0.12; GCA_900550935.1, s__Roseburia sp900550935, 95.0, 76.93, 0.16; GCA_900552665.1, s__Roseburia sp900552665, 95.0, 76.82, 0.1"	91.17	11	0.953435987	N/A
Sa_bin.108.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_000243215.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter laneus	77.35	0.25	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	taxonomic classification defined by topology and ANI	N/A	"GCF_900091655.1, s__Odoribacter massiliensis, 95.0, 77.84, 0.23; GCF_000190535.1, s__Odoribacter splanchnicus, 95.0, 76.98, 0.17; GCA_900541415.1, s__Odoribacter sp900541415, 95.0, 76.67, 0.13; GCA_900762515.1, s__Odoribacter sp900762515, 95.0, 76.64, 0.11; GCA_900548135.1, s__Odoribacter sp900548135, 95.0, 76.63, 0.11; GCF_009935865.1, s__Odoribacter sp009935865, 95.0, 76.63, 0.15; GCA_900544025.1, s__Odoribacter sp900544025, 95.0, 76.48, 0.13; GCA_002293375.1, s__Odoribacter sp002293375, 95.0, 76.21, 0.06"	89.48	11	0.967192914	N/A
Sa_bin.109.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__UBA1232;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__UBA1232;s__	ANI	N/A	"GCA_900544815.1, s__UBA1232 sp900544815, 95.0, 78.68, 0.03; GCA_902797115.1, s__UBA1232 sp902797115, 95.0, 78.11, 0.01; GCA_004561775.1, s__UBA1232 sp004561775, 95.0, 77.58, 0.03; GCF_900769385.1, s__UBA1232 sp900769385, 95.0, 77.41, 0.03; GCF_900769735.1, s__UBA1232 sp900769735, 95.0, 77.21, 0.03; GCA_902769525.1, s__UBA1232 sp902769525, 95.0, 76.56, 0.01; GCA_902780455.1, s__UBA1232 sp902780455, 95.0, 76.56, 0.02; GCA_002315995.1, s__UBA1232 sp002315995, 95.0, 76.45, 0.02; GCA_902789435.1, s__UBA1232 sp002309115, 95.0, 76.41, 0.02; GCA_902797895.1, s__UBA1232 sp902797895, 95.0, 75.99, 0.01; GCA_002372015.1, s__UBA1232 sp002372015, 95.0, 75.84, 0.0; GCA_900316795.1, s__UBA1232 sp900316795, 95.0, 75.8, 0.02; GCA_900322025.1, s__UBA1232 sp900322025, 95.0, 75.18, 0.01"	82.91	11	0.912113276	N/A
Sa_bin.11.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	ANI	N/A	"GCF_009935865.1, s__Odoribacter sp009935865, 95.0, 77.77, 0.21; GCF_000190535.1, s__Odoribacter splanchnicus, 95.0, 77.7, 0.26; GCA_900762515.1, s__Odoribacter sp900762515, 95.0, 77.35, 0.18; GCA_900548135.1, s__Odoribacter sp900548135, 95.0, 77.35, 0.18; GCA_900541415.1, s__Odoribacter sp900541415, 95.0, 77.22, 0.18; GCA_900544025.1, s__Odoribacter sp900544025, 95.0, 76.84, 0.17; GCF_900091655.1, s__Odoribacter massiliensis, 95.0, 76.8, 0.16; GCF_000243215.1, s__Odoribacter laneus, 95.0, 76.54, 0.11; GCA_002293375.1, s__Odoribacter sp002293375, 95.0, 76.19, 0.04"	83.03	11	0.963576164	N/A
Sa_bin.111.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1448;s__	N/A	N/A	N/A	N/A	N/A	GCA_002329405.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1448;s__UBA1448 sp002329405	76.55	0.05	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	91.58	11	0.921694948	N/A
