"","Path","Completeness","Redundancy"
"1","GCF_000594825.1.fna.gz",99.51,0.64
"2","GCF_009788475.1.fna.gz",99.45,0
"3","GCF_011800275.1.fna.gz",100,0.38
"4","GCF_000528035.1.fna.gz",99.51,0.08
"5","GCF_014266835.1.fna.gz",99.51,0.08
"6","GCF_900116485.1.fna.gz",100,0.08
"7","GCF_002369745.1.fna.gz",99.43,0
"8","GCF_002552485.1.fna.gz",99.18,0.15
"9","GCF_003188945.1.fna.gz",99.45,0
"10","GCF_903991985.1.fna.gz",99.43,0.57
"11","GCF_002386265.1.fna.gz",99.39,0.06
"12","GCF_900986835.1.fna.gz",99.85,0
"13","GCF_003239125.1.fna.gz",99.51,0.4
"14","GCF_000441475.1.fna.gz",100,0.56
"15","GCF_003420365.1.fna.gz",99.51,0.08
"16","GCF_001297105.1.fna.gz",99.32,0.57
"17","GCF_002078895.1.fna.gz",100,1.02
"18","GCF_001016215.1.fna.gz",100,0.18
"19","GCF_001423925.1.fna.gz",99.34,0
"20","GCF_000519585.1.fna.gz",99.63,0.37
"21","GCF_003587785.1.fna.gz",99.45,0
"22","GCF_001201355.1.fna.gz",99.6,0.26
"23","GCF_001353735.1.fna.gz",99.51,0.64
"24","GCF_000631345.1.fna.gz",99.85,0
"25","GCF_003043795.1.fna.gz",99.05,0.31
"26","GCF_002962975.1.fna.gz",100,0.37
"27","GCF_000559325.1.fna.gz",99.51,0.08
"28","GCF_016920425.1.fna.gz",99.41,0.08
"29","GCF_000451065.2.fna.gz",99.51,0.37
"30","GCF_003458855.1.fna.gz",100,0.08
"31","GCF_007001435.1.fna.gz",99.52,0.38
"32","GCF_003287275.1.fna.gz",99.85,0
"33","GCF_001116525.1.fna.gz",100,0.53
"34","GCF_900065055.1.fna.gz",100,0.37
"35","GCF_000552205.1.fna.gz",99.51,0.08
"36","GCF_001088925.1.fna.gz",99.69,6.83
"37","GCF_002983295.1.fna.gz",99.51,0.64
"38","GCF_013294475.1.fna.gz",99.19,1.69
"39","GCF_011881955.1.fna.gz",99.45,0
"40","GCF_002208415.1.fna.gz",99.51,0.08
"41","GCF_001547835.1.fna.gz",100,0
"42","GCF_008974225.1.fna.gz",99.25,1.09
"43","GCF_002572965.1.fna.gz",99.51,0.13
"44","GCF_003467125.1.fna.gz",100,1.6
"45","GCF_008754645.1.fna.gz",99.45,0.27
"46","GCF_004681235.1.fna.gz",99.03,0.09
"47","GCF_014694915.1.fna.gz",99.32,0.36
"48","GCF_000643915.1.fna.gz",99.51,0.08
"49","GCF_000596165.1.fna.gz",99.51,0.08
"50","GCF_006364905.1.fna.gz",99.85,0.87
"51","GCF_900191425.1.fna.gz",99.82,0.68
"52","GCF_003002615.1.fna.gz",99.45,0
"53","GCF_900028215.1.fna.gz",99.6,0.21
"54","GCF_902165225.1.fna.gz",99.63,0
"55","GCA_008125075.1.fna.gz",99.33,2.01
"56","GCF_013407415.1.fna.gz",99.19,1.61
"57","GCF_008754075.1.fna.gz",99.45,0.82
"58","GCF_003319615.1.fna.gz",99.53,0
"59","GCF_000607305.1.fna.gz",99.51,0.08
"60","GCF_014326035.1.fna.gz",99.63,0.5
"61","GCA_012277395.1.fna.gz",99.22,0.22
"62","GCF_000572765.1.fna.gz",99.51,0.08
"63","GCF_001471295.2.fna.gz",99.63,1.37
"64","GCF_900024685.1.fna.gz",99.82,0.2
"65","GCF_001751885.1.fna.gz",99.45,0
"66","GCF_016424585.1.fna.gz",99.51,0.17
"67","GCF_003720995.1.fna.gz",99.51,0.08
"68","GCF_001336155.1.fna.gz",99.42,2.16
"69","GCF_002559665.1.fna.gz",99.43,0.65
"70","GCF_003473525.1.fna.gz",100,0
