genome,completeness,contamination
C04M3_subsampled_40Gb_bin.69,100.0,0.0
C04M3_subsampled_40Gb_bin.36,100.0,0.0
C04M3_subsampled_40Gb_bin.3,100.0,0.0
C04M3_subsampled_40Gb_bin.97,99.43,0.377
C04M3_subsampled_40Gb_bin.86,99.43,0.754
C04M3_subsampled_40Gb_bin.62,99.43,0.377
C04M3_subsampled_40Gb_bin.56,99.43,0.880
C04M3_subsampled_40Gb_bin.24,99.43,0.754
C04M3_subsampled_40Gb_bin.11,99.40,2.490
C04M3_subsampled_40Gb_bin.19,99.36,1.265
C04M3_subsampled_40Gb_bin.105,99.34,0.690
C04M3_subsampled_40Gb_bin.76,99.03,0.0
C04M3_subsampled_40Gb_bin.74,98.95,1.424
C04M3_subsampled_40Gb_bin.25,98.93,0.0
C04M3_subsampled_40Gb_bin.29,98.85,3.744
C04M3_subsampled_40Gb_bin.102,98.83,1.851
C04M3_subsampled_40Gb_bin.85,98.73,1.424
C04M3_subsampled_40Gb_bin.60,98.73,0.0
C04M3_subsampled_40Gb_bin.55,98.67,0.377
C04M3_subsampled_40Gb_bin.54,98.67,0.377
C04M3_subsampled_40Gb_bin.98,98.66,0.111
C04M3_subsampled_40Gb_bin.63,98.41,0.843
C04M3_subsampled_40Gb_bin.46,98.41,0.632
C04M3_subsampled_40Gb_bin.81,98.24,1.424
C04M3_subsampled_40Gb_bin.23,98.21,3.691
C04M3_subsampled_40Gb_bin.59,98.16,2.485
C04M3_subsampled_40Gb_bin.65,97.98,1.159
C04M3_subsampled_40Gb_bin.14,97.95,0.680
C04M3_subsampled_40Gb_bin.90,97.92,0.0
C04M3_subsampled_40Gb_bin.39,97.92,0.377
C04M3_subsampled_40Gb_bin.68,97.85,2.013
C04M3_subsampled_40Gb_bin.73,97.70,1.724
C04M3_subsampled_40Gb_bin.52,97.58,3.639
C04M3_subsampled_40Gb_bin.33,97.54,0.377
C04M3_subsampled_40Gb_bin.42,97.46,1.265
C04M3_subsampled_40Gb_bin.75,97.25,2.969
C04M3_subsampled_40Gb_bin.84,97.23,0.754
C04M3_subsampled_40Gb_bin.72,97.12,1.724
C04M3_subsampled_40Gb_bin.31,97.12,2.318
C04M3_subsampled_40Gb_bin.21,97.12,3.256
C04M3_subsampled_40Gb_bin.103,97.07,1.364
C04M3_subsampled_40Gb_bin.2,97.05,2.586
C04M3_subsampled_40Gb_bin.61,97.03,0.0
C04M3_subsampled_40Gb_bin.83,97.01,2.274
C04M3_subsampled_40Gb_bin.4,97.01,2.873
C04M3_subsampled_40Gb_bin.18,97.01,2.681
C04M3_subsampled_40Gb_bin.93,96.94,4.484
C04M3_subsampled_40Gb_bin.35,96.85,0.377
C04M3_subsampled_40Gb_bin.34,96.75,1.006
C04M3_subsampled_40Gb_bin.50,96.64,1.565
C04M3_subsampled_40Gb_bin.96,96.59,2.160
C04M3_subsampled_40Gb_bin.9,96.48,1.048
