user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
C04M3_Longread_bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775535	GCA_009775535.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775535	99.6	0.9	GCA_009775535.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775535	99.6	0.9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_011959565.1, s__CAG-873 sp011959565, 95.0, 80.97, 0.09; GCA_900555715.1, s__CAG-873 sp900555715, 95.0, 78.82, 0.07; GCA_009775125.1, s__CAG-873 sp001689665, 95.0, 77.86, 0.07; GCA_900548975.1, s__CAG-873 sp900548975, 95.0, 77.83, 0.07; GCA_009775225.1, s__CAG-873 sp009775225, 95.0, 77.73, 0.07; GCA_009775275.1, s__CAG-873 sp009775275, 95.0, 77.43, 0.07; GCA_004554255.1, s__CAG-873 sp004554255, 95.0, 77.29, 0.07; GCA_009775265.1, s__CAG-873 sp009775265, 95.0, 77.06, 0.08; GCA_001701165.1, s__CAG-873 sp001701165, 95.0, 77.01, 0.04; GCA_003979155.1, s__CAG-873 sp003979155, 95.0, 76.72, 0.07; GCA_002491245.1, s__CAG-873 sp002491245, 95.0, 76.69, 0.06; GCA_001689415.1, s__CAG-873 sp001689415, 95.0, 76.69, 0.07; GCA_009775195.1, s__CAG-873 sp009775195, 95.0, 76.68, 0.05; GCA_004553485.1, s__CAG-873 sp004553485, 95.0, 76.66, 0.08; GCA_004552485.1, s__CAG-873 sp004552485, 95.0, 76.65, 0.06; GCA_900554715.1, s__CAG-873 sp900554715, 95.0, 76.62, 0.06; GCA_900550395.1, s__CAG-873 sp900550395, 95.0, 76.59, 0.06; GCA_004552725.1, s__CAG-873 sp004552725, 95.0, 76.57, 0.04; GCF_900755985.1, s__CAG-873 sp900755985, 95.0, 76.51, 0.06; GCA_900759825.1, s__CAG-873 sp900759825, 95.0, 76.47, 0.04; GCA_900540625.1, s__CAG-873 sp900540625, 95.0, 76.47, 0.05; GCA_900541865.1, s__CAG-873 sp900541865, 95.0, 76.41, 0.05; GCA_002478045.1, s__CAG-873 sp002478045, 95.0, 76.41, 0.04; GCA_900759845.1, s__CAG-873 sp900759845, 95.0, 76.37, 0.03; GCA_002490635.1, s__CAG-873 sp002490635, 95.0, 76.32, 0.07; GCA_002493945.1, s__CAG-873 sp002493945, 95.0, 76.23, 0.05; GCA_002633115.1, s__CAG-873 sp002633115, 95.0, 76.17, 0.06; GCA_009775135.1, s__CAG-873 sp009775135, 95.0, 75.68, 0.05; GCA_900554265.1, s__CAG-873 sp900554265, 95.0, 75.59, 0.05	85.71	11	N/A	N/A
C04M3_Longread_bin.11	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	GCF_000020225.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	98.96	0.96	GCF_000020225.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	98.96	0.96	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900184965.1, s__Akkermansia muciniphila_A, 95.0, 93.89, 0.87; GCF_002885095.1, s__Akkermansia muciniphila_B, 95.0, 87.32, 0.84; GCF_002884975.1, s__Akkermansia muciniphila_C, 95.0, 85.94, 0.78; GCF_004167605.1, s__Akkermansia sp004167605, 95.0, 82.3, 0.7; GCF_001580195.1, s__Akkermansia sp001580195, 95.0, 82.26, 0.7; GCF_001683795.1, s__Akkermansia glycaniphila, 95.0, 77.31, 0.11; GCA_002471255.1, s__Akkermansia sp002471255, 95.0, 77.2, 0.04; GCA_900545155.1, s__Akkermansia sp900545155, 95.0, 76.94, 0.12; GCA_900766865.1, s__Akkermansia sp900766865, 95.0, 76.61, 0.05; GCA_900548895.1, s__Akkermansia sp900548895, 95.0, 76.49, 0.07; GCA_004557455.1, s__Akkermansia muciniphila_D, 95.0, 76.25, 0.07; GCA_002358905.1, s__Akkermansia sp002358905, 95.0, 75.77, 0.04	92.56	11	N/A	N/A
C04M3_Longread_bin.12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	N/A	N/A	N/A	N/A	N/A	GCA_900759825.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp900759825	77.25	0.15	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	taxonomic classification defined by topology and ANI	N/A	GCF_011959565.1, s__CAG-873 sp011959565, 95.0, 79.7, 0.15; GCA_009775135.1, s__CAG-873 sp009775135, 95.0, 77.8, 0.16; GCA_009775125.1, s__CAG-873 sp001689665, 95.0, 77.74, 0.13; GCA_900555715.1, s__CAG-873 sp900555715, 95.0, 77.52, 0.11; GCA_004552725.1, s__CAG-873 sp004552725, 95.0, 77.48, 0.15; GCA_004553485.1, s__CAG-873 sp004553485, 95.0, 77.39, 0.18; GCA_009775225.1, s__CAG-873 sp009775225, 95.0, 77.38, 0.18; GCA_004554255.1, s__CAG-873 sp004554255, 95.0, 77.33, 0.13; GCA_001689415.1, s__CAG-873 sp001689415, 95.0, 77.29, 0.14; GCA_002493945.1, s__CAG-873 sp002493945, 95.0, 77.23, 0.15; GCA_900548975.1, s__CAG-873 sp900548975, 95.0, 77.22, 0.16; GCA_003979155.1, s__CAG-873 sp003979155, 95.0, 77.18, 0.13; GCA_900550395.1, s__CAG-873 sp900550395, 95.0, 77.15, 0.14; GCA_009775275.1, s__CAG-873 sp009775275, 95.0, 77.13, 0.15; GCA_900554265.1, s__CAG-873 sp900554265, 95.0, 77.08, 0.16; GCA_004552485.1, s__CAG-873 sp004552485, 95.0, 77.04, 0.14; GCA_001701165.1, s__CAG-873 sp001701165, 95.0, 77.0, 0.08; GCA_900541865.1, s__CAG-873 sp900541865, 95.0, 77.0, 0.13; GCA_009775265.1, s__CAG-873 sp009775265, 95.0, 76.92, 0.13; GCF_900755985.1, s__CAG-873 sp900755985, 95.0, 76.9, 0.11; GCA_009775195.1, s__CAG-873 sp009775195, 95.0, 76.88, 0.16; GCA_002633115.1, s__CAG-873 sp002633115, 95.0, 76.75, 0.09; GCA_002490635.1, s__CAG-873 sp002490635, 95.0, 76.75, 0.14; GCA_009775535.1, s__CAG-873 sp009775535, 95.0, 76.73, 0.08; GCA_002478045.1, s__CAG-873 sp002478045, 95.0, 76.69, 0.09; GCA_900540625.1, s__CAG-873 sp900540625, 95.0, 76.67, 0.09; GCA_900554715.1, s__CAG-873 sp900554715, 95.0, 76.59, 0.12; GCA_900759845.1, s__CAG-873 sp900759845, 95.0, 76.47, 0.1; GCA_002491245.1, s__CAG-873 sp002491245, 95.0, 76.43, 0.12	96.98	11	0.9709020935159258	N/A
C04M3_Longread_bin.13	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	ANI	N/A	GCA_014237695.1, s__UMGS1872 sp014237695, 95.0, 83.9, 0.56; GCA_009774055.1, s__UMGS1872 sp009774055, 95.0, 82.84, 0.54; GCA_902373635.1, s__UMGS1872 sp902373635, 95.0, 81.57, 0.48; GCA_900555795.1, s__UMGS1872 sp900555795, 95.0, 80.17, 0.47; GCA_900549475.1, s__UMGS1872 sp900549475, 95.0, 79.85, 0.39	77.98	11	0.9638606416440021	N/A
C04M3_Longread_bin.14	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	N/A	N/A	N/A	N/A	N/A	GCA_009774375.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp009774375	84.99	0.71	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000403215.1, s__COE1 sp000403215, 95.0, 83.1, 0.36; GCA_009774245.1, s__COE1 sp009774245, 95.0, 83.0, 0.55; GCF_000403335.2, s__COE1 sp000403335, 95.0, 82.59, 0.24; GCA_002491195.1, s__COE1 sp002491195, 95.0, 80.81, 0.5; GCA_009774395.1, s__COE1 sp009774395, 95.0, 80.76, 0.14; GCA_009774345.1, s__COE1 sp009774345, 95.0, 79.78, 0.42; GCA_002358575.1, s__COE1 sp002358575, 95.0, 79.43, 0.29; GCA_014239155.1, s__COE1 sp014239155, 95.0, 79.28, 0.23; GCF_011959805.1, s__COE1 sp011959805, 95.0, 79.08, 0.19; GCA_002490665.1, s__COE1 sp002490665, 95.0, 78.75, 0.35; GCA_003513705.1, s__COE1 sp003513705, 95.0, 78.71, 0.19; GCA_001916965.1, s__COE1 sp001916965, 95.0, 77.49, 0.08; GCF_900753305.1, s__COE1 sp900753305, 95.0, 77.34, 0.07; GCA_002492295.1, s__COE1 sp002492295, 95.0, 77.27, 0.17	88.8	11	0.9856963394503352	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
C04M3_Longread_bin.15	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium cocleatum	GCF_900102365.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium cocleatum	98.14	0.84	GCF_900102365.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium cocleatum	98.14	0.84	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000508865.1, s__Erysipelatoclostridium sp000508865, 95.0, 82.83, 0.61; GCF_000686665.1, s__Erysipelatoclostridium saccharogumia, 95.0, 82.52, 0.61; GCF_000154805.1, s__Erysipelatoclostridium spiroforme, 95.0, 81.83, 0.57; GCF_014131695.1, s__Erysipelatoclostridium ramosum, 95.0, 81.32, 0.47; GCF_002160495.1, s__Erysipelatoclostridium sp002160495, 95.0, 80.26, 0.4	92.91	11	N/A	N/A
C04M3_Longread_bin.16	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825	GCA_002428825.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825	98.45	0.9	GCA_002428825.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825	98.45	0.9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900553175.1, s__Alistipes sp900553175, 95.0, 82.13, 0.62; GCF_902362705.1, s__Alistipes sp002358415, 95.0, 81.54, 0.58; GCF_000312145.1, s__Alistipes senegalensis, 95.0, 81.09, 0.61; GCF_900083545.1, s__Alistipes provencensis, 95.0, 80.99, 0.6; GCA_900544265.1, s__Alistipes sp900544265, 95.0, 80.92, 0.58; GCF_006542685.1, s__Alistipes dispar, 95.0, 80.86, 0.58; GCA_900541585.1, s__Alistipes sp900541585, 95.0, 80.85, 0.55; GCF_000210575.1, s__Alistipes shahii, 95.0, 80.72, 0.64; GCF_900290115.1, s__Alistipes sp900290115, 95.0, 80.6, 0.57; GCA_900542505.1, s__Alistipes sp900542505, 95.0, 80.52, 0.52; GCF_900107675.1, s__Alistipes timonensis, 95.0, 80.47, 0.58; GCA_902388705.1, s__Alistipes sp902388705, 95.0, 80.42, 0.53; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 80.4, 0.56; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 80.35, 0.58; GCA_009774895.1, s__Alistipes sp009774895, 95.0, 80.33, 0.58; GCF_002161445.1, s__Alistipes sp002161445, 95.0, 80.27, 0.55; GCA_000434235.1, s__Alistipes sp000434235, 95.0, 80.17, 0.52; GCA_900549305.1, s__Alistipes sp900549305, 95.0, 80.15, 0.39; GCF_000374505.1, s__Alistipes onderdonkii, 95.0, 80.09, 0.57; GCF_900604385.1, s__Alistipes megaguti, 95.0, 80.05, 0.55; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 79.54, 0.46; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 79.52, 0.43; GCF_900021155.1, s__Alistipes sp900021155, 95.0, 79.45, 0.48; GCF_006542665.1, s__Alistipes communis, 95.0, 79.32, 0.46; GCF_902363575.1, s__Alistipes sp902363575, 95.0, 79.15, 0.43; GCF_000154465.1, s__Alistipes putredinis, 95.0, 78.54, 0.34; GCA_900760675.1, s__Alistipes sp900760675, 95.0, 78.48, 0.39; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 78.17, 0.33; GCA_900546065.1, s__Alistipes sp900546065, 95.0, 77.84, 0.25; GCA_002362235.1, s__Alistipes sp002362235, 95.0, 77.73, 0.26; GCA_900548155.1, s__Alistipes sp900548155, 95.0, 77.59, 0.24; GCA_900761235.1, s__Alistipes sp900761235, 95.0, 77.25, 0.24; GCA_900550925.1, s__Alistipes sp900550925, 95.0, 77.2, 0.17; GCA_900769445.1, s__Alistipes sp900769445, 95.0, 77.0, 0.04; GCA_900769745.1, s__Alistipes sp900769745, 95.0, 76.95, 0.06; GCA_900768045.1, s__Alistipes sp900768045, 95.0, 76.79, 0.05; GCA_900766655.1, s__Alistipes sp900766655, 95.0, 76.46, 0.03; GCA_002293345.1, s__Alistipes sp002293345, 95.0, 76.39, 0.1; GCA_900769405.1, s__Alistipes sp900769405, 95.0, 76.27, 0.16; GCA_900770585.1, s__Alistipes sp900770585, 95.0, 76.27, 0.14; GCA_900769525.1, s__Alistipes sp900769525, 95.0, 76.21, 0.06; GCA_900768015.1, s__Alistipes sp900768015, 95.0, 76.15, 0.1; GCA_900770635.1, s__Alistipes sp900770635, 95.0, 76.14, 0.07	95.22	11	N/A	N/A
C04M3_Longread_bin.17	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella arabinosiphila	GCF_003885045.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella arabinosiphila	96.56	0.7	GCF_003885045.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella arabinosiphila	96.56	0.7	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009911175.1, s__Schaedlerella sp009911175, 95.0, 88.04, 0.62; GCF_000403295.1, s__Schaedlerella sp000403295, 95.0, 86.17, 0.59; GCA_009774255.1, s__Schaedlerella sp009774255, 95.0, 82.02, 0.5; GCF_003480425.1, s__Schaedlerella sp900066545, 95.0, 77.92, 0.09; GCF_001311035.1, s__Schaedlerella glycyrrhizinilytica, 95.0, 77.62, 0.18; GCA_002320245.1, s__Schaedlerella sp002320245, 95.0, 77.58, 0.15; GCF_900765975.1, s__Schaedlerella sp900765975, 95.0, 77.43, 0.11; GCA_004556565.1, s__Schaedlerella sp004556565, 95.0, 77.39, 0.09	81.7	11	N/A	N/A
C04M3_Longread_bin.18	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp003979335	GCA_003979335.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp003979335	97.85	0.91	GCA_003979335.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp003979335	97.85	0.91	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_013316055.1, s__UBA11940 sp013316055, 95.0, 77.76, 0.3; GCA_003503945.1, s__UBA11940 sp003503945, 95.0, 77.16, 0.18; GCA_900549005.1, s__UBA11940 sp900549005, 95.0, 76.87, 0.13	93.27	11	N/A	N/A
C04M3_Longread_bin.19	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	94.68	11	0.762170432713709	N/A
