user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin_m1.cct123	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__NHYN01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	91.5	11	0.8824330221176127	N/A
bin_m1.mtb106	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	N/A	N/A	N/A	N/A	N/A	GCA_003979335.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp003979335	77.33	0.25	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003503945.1, s__UBA11940 sp003503945, 95.0, 78.16, 0.29; GCA_013316055.1, s__UBA11940 sp013316055, 95.0, 78.01, 0.33; GCA_900549005.1, s__UBA11940 sp900549005, 95.0, 77.0, 0.18	92.36	11	0.9644765435946144	N/A
bin_m1.mtb147	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__	N/A	N/A	N/A	N/A	N/A	GCF_011958945.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp011958945	84.04	0.58	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__	taxonomic classification defined by topology and ANI	N/A	GCF_009911195.1, s__Kineothrix sp009911195, 95.0, 84.88, 0.64; GCF_000403275.1, s__Kineothrix sp000403275, 95.0, 78.88, 0.31; GCA_003488965.1, s__Kineothrix sp003488965, 95.0, 78.63, 0.32; GCF_000732725.1, s__Kineothrix alysoides, 95.0, 76.87, 0.09; GCA_012520655.1, s__Kineothrix sp012520655, 95.0, 76.87, 0.17	85.43	11	0.9845267034822665	Genome has more than 10.8% of markers with multiple hits
bin_m1.mtb2	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__	taxonomic novelty determined using RED	N/A	N/A	80.68	11	0.845860361249682	N/A
bin_m1.mxb107_sub	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	29.06	11	0.8570085427792236	N/A
bin_m1.vmb35	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__	N/A	N/A	N/A	N/A	N/A	GCA_002298075.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp002298075	80.75	0.52	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__	taxonomic classification defined by topology and ANI	N/A	GCF_900760425.1, s__RC9 sp900760425, 95.0, 80.07, 0.17; GCA_009774765.1, s__RC9 sp009774765, 95.0, 78.02, 0.17; GCA_900545245.1, s__RC9 sp900545245, 95.0, 77.68, 0.07; GCA_900546395.1, s__RC9 sp900546395, 95.0, 77.59, 0.11; GCA_002439805.1, s__RC9 sp002439805, 95.0, 77.36, 0.08; GCA_002440085.1, s__RC9 sp002440085, 95.0, 77.35, 0.07; GCA_004552615.1, s__RC9 sp004552615, 95.0, 77.28, 0.05; GCA_000434935.1, s__RC9 sp000434935, 95.0, 77.1, 0.08; GCF_900769145.1, s__RC9 sp900769145, 95.0, 76.93, 0.07; GCA_002438905.1, s__RC9 sp002438905, 95.0, 76.83, 0.09; GCA_004552115.1, s__RC9 sp004552115, 95.0, 76.44, 0.05; GCF_900167925.1, s__RC9 sp900167925, 95.0, 76.4, 0.06; GCA_000432515.1, s__RC9 sp000432515, 95.0, 76.39, 0.06; GCA_000433355.1, s__RC9 sp000433355, 95.0, 75.94, 0.05	96.59	11	0.9788946739350912	N/A
bin_m1.vmb46	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__	N/A	N/A	N/A	N/A	N/A	GCF_011959925.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__1XD42-69 sp011959925	85.57	0.68	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__	taxonomic classification defined by topology and ANI	N/A	GCF_009911505.1, s__1XD42-69 sp009911505, 95.0, 78.03, 0.24; GCF_003612565.1, s__1XD42-69 sp003612565, 95.0, 77.84, 0.14; GCF_014287635.1, s__1XD42-69 sp014287635, 95.0, 77.64, 0.2	92.08	11	0.9845653988186854	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin_m10.cct0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	84.77	11	0.7507243067725121	N/A
bin_m10.cct151	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	ANI	N/A	GCA_900547755.1, s__CAG-485 sp900547755, 95.0, 76.97, 0.11; GCA_900552315.1, s__CAG-485 sp900552315, 95.0, 76.88, 0.13; GCF_900761855.1, s__CAG-485 sp900761855, 95.0, 76.42, 0.05; GCA_900541835.1, s__CAG-485 sp900541835, 95.0, 76.39, 0.07	75.5	11	0.947879567279267	N/A
bin_m10.cct29	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__RUG12999;f__RUG12999;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	59.4	11	0.7810519220125118	N/A
bin_m10.cct54_sub	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-267;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-267;s__	ANI	N/A	GCA_900551865.1, s__CAG-267 sp900551865, 95.0, 78.24, 0.16; GCA_002353835.1, s__CAG-267 sp002353835, 95.0, 77.97, 0.2; GCA_001917135.1, s__CAG-267 sp001917135, 95.0, 77.76, 0.2; GCA_902763185.1, s__CAG-267 sp902763185, 95.0, 77.74, 0.19	92.89	11	0.9606432200438416	N/A
bin_m10.cct7_sub	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Rs-D84;s__	N/A	N/A	N/A	N/A	N/A	GCA_013316395.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Rs-D84;s__Rs-D84 sp013316395	77.35	0.26	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Rs-D84;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002437665.1, s__Rs-D84 sp002437665, 95.0, 77.53, 0.31; GCA_900550565.1, s__Rs-D84 sp900550565, 95.0, 77.25, 0.27; GCA_900549365.1, s__Rs-D84 sp900549365, 95.0, 77.24, 0.28; GCA_900550495.1, s__Rs-D84 sp900550495, 95.0, 77.04, 0.23; GCA_900546185.1, s__Rs-D84 sp900546185, 95.0, 76.98, 0.23; GCA_900546225.1, s__Rs-D84 sp900546225, 95.0, 76.98, 0.29; GCA_902801125.1, s__Rs-D84 sp902801125, 95.0, 76.86, 0.19; GCA_900313105.1, s__Rs-D84 sp900313105, 95.0, 76.51, 0.17; GCA_002373935.1, s__Rs-D84 sp002373935, 95.0, 76.49, 0.22; GCA_902788485.1, s__Rs-D84 sp902788485, 95.0, 76.26, 0.19; GCA_902790415.1, s__Rs-D84 sp902790415, 95.0, 76.03, 0.17	75.64	11	0.9162830971948146	N/A
