genome	number of scaffolds	taxonomy	5S rRNA	16S rRNA	23S rRNA	tRNA count
SgH_bin.1	32	SgH_bin.1				46
SgH_bin.10	171	SgH_bin.10	4 present			63
SgH_bin.100	38	SgH_bin.100				33
SgH_bin.101	514	SgH_bin.101				33
SgH_bin.102	146	SgH_bin.102	7 present	SgH_bin.102_k141_141085-flag_0-multi_135.0945-len_57930 (2, 1352)		79
SgH_bin.103	275	SgH_bin.103				35
SgH_bin.104	226	SgH_bin.104				36
SgH_bin.105	853	SgH_bin.105				32
SgH_bin.106	1130	SgH_bin.106	SgH_bin.106_k141_9895-flag_0-multi_6.9635-len_3757 (26, 128)			38
SgH_bin.11	241	SgH_bin.11				35
SgH_bin.12	129	SgH_bin.12				32
SgH_bin.13	308	SgH_bin.13	SgH_bin.13_k141_1110788-flag_1-multi_3.8491-len_2560 (463, 571)			19
SgH_bin.14	598	SgH_bin.14				22
SgH_bin.15	205	SgH_bin.15	3 present	SgH_bin.15_k141_1295090-flag_0-multi_18.2804-len_25173 (21617, 23185)	SgH_bin.15_k141_1295090-flag_0-multi_18.2804-len_25173 (23968, 25164)	49
SgH_bin.16	23	SgH_bin.16				42
SgH_bin.17	84	SgH_bin.17				44
SgH_bin.18	487	SgH_bin.18				37
SgH_bin.19	315	SgH_bin.19				35
SgH_bin.2	409	SgH_bin.2	SgH_bin.2_k141_800987-flag_0-multi_19.4654-len_11632 (348, 452)			56
SgH_bin.20	598	SgH_bin.20				42
SgH_bin.21	464	SgH_bin.21	2 present			41
SgH_bin.22	12	SgH_bin.22				40
SgH_bin.23	466	SgH_bin.23				24
SgH_bin.24	549	SgH_bin.24	3 present			44
SgH_bin.25	93	SgH_bin.25				46
SgH_bin.26	447	SgH_bin.26				33
SgH_bin.27	361	SgH_bin.27				37
SgH_bin.28	494	SgH_bin.28				37
SgH_bin.29	388	SgH_bin.29				29
SgH_bin.3	119	SgH_bin.3		SgH_bin.3_k141_622140-flag_0-multi_10.9501-len_20980 (20417, 20980)	SgH_bin.3_k141_1298710-flag_0-multi_11.9850-len_20132 (2, 2043)	35
SgH_bin.30	319	SgH_bin.30				32
SgH_bin.31	652	SgH_bin.31				22
SgH_bin.32	197	SgH_bin.32	4 present			52
SgH_bin.33	782	SgH_bin.33				37
SgH_bin.34	223	SgH_bin.34				46
SgH_bin.35	272	SgH_bin.35	SgH_bin.35_k141_1013864-flag_1-multi_10.9869-len_16894 (16796, 16884)			37
SgH_bin.36	567	SgH_bin.36				48
SgH_bin.37	75	SgH_bin.37		SgH_bin.37_k141_545349-flag_0-multi_31.8367-len_63169 (1, 757)		50
SgH_bin.38	87	SgH_bin.38				45
SgH_bin.39	146	SgH_bin.39	3 present	SgH_bin.39_k141_1305276-flag_0-multi_15.5782-len_8673 (8268, 8673)		41
SgH_bin.4	131	SgH_bin.4				46
SgH_bin.40	434	SgH_bin.40	SgH_bin.40_k141_808912-flag_0-multi_7.8697-len_2505 (2321, 2385)			51
SgH_bin.41	590	SgH_bin.41				21
SgH_bin.42	578	SgH_bin.42				44
SgH_bin.43	366	SgH_bin.43				36
SgH_bin.44	184	SgH_bin.44				50
SgH_bin.45	403	SgH_bin.45				58
SgH_bin.46	292	SgH_bin.46				46
SgH_bin.47	161	SgH_bin.47				45
SgH_bin.48	328	SgH_bin.48	4 present			62
SgH_bin.49	154	SgH_bin.49	SgH_bin.49_k141_1313822-flag_0-multi_117.4698-len_4002 (3897, 4001)	SgH_bin.49_k141_353961-flag_0-multi_65.8049-len_15438 (15033, 15436)		46
