genome,completeness,contamination
bin_m1.cct123,99.23,0.35
bin_m1.mtb106,93.55,0.05
bin_m1.mtb147,96.29,4.36
bin_m1.mtb2,89.97,0.88
bin_m1.mxb107_sub,36.3,15.58
bin_m1.vmb35,96.43,0.95
bin_m1.vmb46,95.49,1.69
bin_m10.cct0,87.8,0.81
bin_m10.cct151,89.81,2.75
bin_m10.cct29,61.97,1.59
bin_m10.cct54_sub,91.21,0
bin_m10.cct7_sub,85.71,1.16
bin_m10.mtb109,97.55,1.13
bin_m10.mtb12,91.78,3.02
bin_m10.mtb135,99.43,2.03
bin_m10.mtb158,90.83,0.15
bin_m10.mtb172_sub,43.68,2.82
bin_m10.mtb180,95.8,0.23
bin_m10.mtb18_sub,90.66,0.43
bin_m10.mtb200,94.15,0.75
bin_m10.mtb203,75.81,0
bin_m10.mtb248,88.71,0
bin_m10.mtb37,98.39,1.08
bin_m10.mtb58,90.63,2.01
bin_m10.mtb70,97.33,1.44
bin_m10.mtb71,94.85,0.22
bin_m10.mtb86,94.91,2.74
bin_m10.mxb17,94.85,0.22
bin_m10.mxb39,87.91,0
bin_m10.mxb49,77.55,4.47
bin_m10.mxb52,96.15,0.72
bin_m10.mxb53,91.7,0.75
bin_m10.mxb56_sub,95.59,1.47
bin_m10.mxb78_sub,93.49,7.09
bin_m10.mxb87_sub,84.27,1.61
bin_m10.vmb1,85.96,1.07
bin_m10.vmb10,78.85,0.48
bin_m10.vmb106,94.8,0
bin_m10.vmb116,83.67,1.47
bin_m10.vmb122,80.57,0.89
bin_m10.vmb141,99.38,0.62
bin_m10.vmb15,91.13,0.69
bin_m10.vmb163_sub,78.71,0.91
bin_m10.vmb169,95.55,0.63
bin_m10.vmb194,98.36,0.38
bin_m10.vmb32,95.51,1.12
bin_m10.vmb38,59.69,0.93
bin_m10.vmb62,54.25,0.85
bin_m10.vmb68_sub,98.52,0.49
bin_m10.vmb93_sub,87.1,0.86
bin_m10.vmb94,88.3,4.15
bin_m11.cct146_sub,72.99,3.51
bin_m11.cct159,92.21,4.82
bin_m11.cct57,99.53,0
bin_m11.cct71_sub,64.98,7.2
bin_m11.cct89_sub,76.52,3.5
bin_m11.cct96,94.61,0.22
bin_m11.mtb101,94.27,2.2
bin_m11.mtb107,91.7,0.72
bin_m11.mtb133,99.52,0
bin_m11.mtb193,93.77,0
bin_m11.mtb203,90.23,2.29
bin_m11.mtb206,90.73,5.27
bin_m11.mtb208,99.06,4.91
bin_m11.mtb241_sub,93.01,2.95
bin_m11.mtb243,92.64,2.14
bin_m11.mtb249,94.35,3.29
bin_m11.mtb265,90.98,2.78
bin_m11.mtb57,67.32,0.34
bin_m11.mtb58,96.48,0
bin_m11.mtb59,85.89,2.53
bin_m11.mtb76,92.74,4.41
bin_m11.mxb20,94.35,4.49
bin_m11.mxb53,85.28,0.67
bin_m11.mxb6,98.91,2.34
bin_m11.vmb104,87.79,4.09
bin_m11.vmb173,92.84,0.34
bin_m11.vmb184,82.58,0.94
bin_m11.vmb199,90.53,1.34
bin_m11.vmb200_sub,54.93,8.27
bin_m11.vmb25,80.21,0.03
bin_m11.vmb32,94.76,0.05
bin_m11.vmb45,86.35,1.17
bin_m11.vmb61,58.61,0.85
bin_m11.vmb74,90.3,0
bin_m11.vmb84,91.51,2.14
bin_m12.cct109_sub,53.58,24.43
bin_m12.cct139,86.81,0
bin_m12.cct52_sub,98.83,8.87
bin_m12.cct83_sub,79.6,1.79
bin_m12.mtb121,79.43,0.38
bin_m12.mtb122,99.22,1.16
bin_m12.mtb124,92.14,1.26
bin_m12.mtb152,98.3,0.88
bin_m12.mtb29,88.89,0.85
bin_m12.mtb43,69.29,4.03
bin_m12.mtb81,97.28,2.35
bin_m12.mtb99_sub,91.3,5.22
bin_m12.mxb67_sub,78.96,8.49
bin_m12.mxb77_sub,71.18,5.98
bin_m12.vmb111,91.5,2.21
bin_m12.vmb143,93.36,1.49
bin_m12.vmb162,94.97,3.49
bin_m12.vmb38,94.67,4.15
bin_m12.vmb59,94.51,0
bin_m13.cct136_sub,96.77,0.4
bin_m13.mtb110,93.34,4.74
bin_m13.mtb113_sub,77.34,1.36
bin_m13.mtb118_sub,94.07,4.02
bin_m13.mtb145,94.46,4.89
bin_m13.mtb164_sub,93.76,13.16
bin_m13.mtb182,97.92,2.83
bin_m13.mtb194,98.89,0.22
bin_m13.mtb199,62.03,0.85
bin_m13.mtb55,89.74,1.44
bin_m13.mtb58,65.06,0
bin_m13.mtb75,97.85,0
bin_m13.mtb85,67.3,1.66
bin_m13.mtb94,97.82,1.52
bin_m13.mtb95,94.91,3.18
bin_m13.mtb98,77.36,0.68
bin_m13.mxb183_sub,56.62,6.05
bin_m13.mxb31,100,0.38
bin_m13.mxb55_sub,93.55,0.03
bin_m13.mxb57,98.75,0.62
bin_m13.mxb60_sub,96.62,0.68
bin_m13.mxb67_sub,78.28,18.97
bin_m13.mxb7,90.32,1.61
bin_m13.vmb103,95.28,1.32
bin_m13.vmb111,74.98,0
bin_m13.vmb114,93.04,0.32
bin_m13.vmb131,90.32,0.03
bin_m13.vmb150,87.28,2.92
bin_m13.vmb30,98.3,0.91
bin_m13.vmb37,41.66,0.22
bin_m13.vmb72,95.56,1.01
bin_m13.vmb79,100,0
bin_m13.vmb90,92.35,0.57
bin_m14.cct152,93.96,0.02
bin_m14.cct71,94.18,0.22
bin_m14.mtb117_sub,85.76,3.43
bin_m14.mtb121,96.26,1.72
bin_m14.mtb129,91.49,17.82
bin_m14.mtb131,95.97,0
bin_m14.mtb143,48.72,0.9
bin_m14.mtb145_sub,58.43,2.97
bin_m14.mtb152_sub,97.15,1.21
bin_m14.mtb172,89.43,0
bin_m14.mtb203,87.11,0.19
bin_m14.mtb42,94.52,4.74
bin_m14.mtb44,67.09,0.85
bin_m14.mxb149,96.45,2.96
bin_m14.mxb51,88.49,6.54
bin_m14.vmb100,88.74,1.27
bin_m14.vmb113,99.25,0.09
bin_m14.vmb125,94.16,4.13
bin_m14.vmb146,89.11,1.34
bin_m14.vmb151,94.97,0.92
bin_m14.vmb15_sub,74.52,0.64
bin_m14.vmb161,92.64,2.2
bin_m14.vmb179,60.32,2.56
bin_m14.vmb180,95.08,0.7
bin_m14.vmb42,90.32,0.03
bin_m14.vmb46,82.45,0.96
bin_m14.vmb57_sub,83.65,1.7
bin_m14.vmb84,93.87,2.7
bin_m15.cct109_sub,87.5,2.06
bin_m15.cct143,78.02,3.94
bin_m15.cct169,90.27,0.04
bin_m15.cct181,95.98,1.34
bin_m15.mtb129,63.77,0.95
bin_m15.mtb130_sub,96.69,4.32
bin_m15.mtb150_sub,98.68,4.34
bin_m15.mtb67,95.91,0.31
bin_m15.mtb72,91.84,3.64
bin_m15.mtb98,94.41,0.14
bin_m15.mtb99_sub,59.61,0.85
bin_m15.mxb29,78.21,0.68
bin_m15.mxb64_sub,91.29,3.21
bin_m15.mxb73_sub,84.17,0
