genome	number of scaffolds	taxonomy	5S rRNA	16S rRNA	23S rRNA	tRNA count
bin_m1.cct123	75	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__NHYN01;s__	bin_m1.cct123_m1_040971 (74007, 74110)	bin_m1.cct123_m1_040971 (77845, 79144)	bin_m1.cct123_m1_040971 (74234, 77106)	36
bin_m1.mtb106	30	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			38
bin_m1.mtb147	377	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__		bin_m1.mtb147_m1_076086 (2, 685)		41
bin_m1.mtb2	235	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__		bin_m1.mtb2_m1_046074 (6378, 6804)		17
bin_m1.mxb107_sub	1577	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__;s__				44
bin_m1.vmb35	40	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__	2 present	bin_m1.vmb35_m1_006737 (58867, 60390)	bin_m1.vmb35_m1_094030 (273, 3115)	42
bin_m1.vmb46	51	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__		bin_m1.vmb46_m1_014384 (23060, 24043)	bin_m1.vmb46_m1_016554 (438, 3321)	48
bin_m10.cct0	246	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__;g__;s__				29
bin_m10.cct151	332	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	bin_m10.cct151_m10_076248 (8146, 8247)			39
bin_m10.cct29	555	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__RUG12999;f__RUG12999;g__;s__				12
bin_m10.cct54_sub	120	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-267;s__	bin_m10.cct54_sub_m10_035996 (1476, 1586)		bin_m10.cct54_sub_m10_035996 (1, 1405)	36
bin_m10.cct7_sub	58	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Rs-D84;s__				41
bin_m10.mtb109	67	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689565	2 present			40
bin_m10.mtb12	96	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	2 present			46
bin_m10.mtb135	74	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__				49
bin_m10.mtb158	41	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-475;s__	bin_m10.mtb158_m10_141795 (13240, 13349)	bin_m10.mtb158_m10_141795 (8338, 9848)	bin_m10.mtb158_m10_141795 (10217, 13129)	44
bin_m10.mtb172_sub	787	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__			2 present	30
