genome,completeness,contamination
Sa_bin.86,100.0,3.763
Sa_bin.30,100.0,1.347
Sa_bin.131,99.94,0.410
Sa_bin.162,99.93,0.099
Sa_bin.16,99.32,0.0
Sa_bin.7,99.27,1.353
Sa_bin.20,99.19,2.293
Sa_bin.170,99.10,0.610
Sa_bin.203,98.92,1.075
Sa_bin.143,98.90,0.824
Sa_bin.153,98.83,0.320
Sa_bin.3,98.82,0.0
Sa_bin.97,98.81,0.591
Sa_bin.102,98.81,0.0
Sa_bin.65,98.73,2.109
Sa_bin.186,98.73,0.632
Sa_bin.122,98.71,2.025
Sa_bin.100,98.71,0.843
Sa_bin.155,98.67,3.305
Sa_bin.41,98.63,3.926
Sa_bin.159,98.58,2.482
Sa_bin.45,98.57,1.121
Sa_bin.204,98.56,1.899
Sa_bin.13,98.55,1.842
Sa_bin.195,98.52,0.0
Sa_bin.12,98.49,0.939
Sa_bin.194,98.47,0.483
Sa_bin.169,98.43,3.187
Sa_bin.134,98.24,5.103
Sa_bin.39,98.22,1.818
Sa_bin.215,98.14,1.149
Sa_bin.8,97.98,1.487
Sa_bin.70,97.98,1.342
Sa_bin.49,97.98,1.342
Sa_bin.210,97.98,1.342
Sa_bin.137,97.98,3.545
Sa_bin.160,97.95,2.782
Sa_bin.144,97.95,0.0
Sa_bin.85,97.92,4.982
Sa_bin.36,97.87,1.156
Sa_bin.154,97.87,1.898
Sa_bin.53,97.81,5.591
Sa_bin.220,97.76,1.006
Sa_bin.183,97.70,4.009
Sa_bin.106,97.69,1.916
Sa_bin.149,97.63,1.227
Sa_bin.193,97.60,1.573
Sa_bin.207,97.57,2.589
Sa_bin.218,97.31,2.013
Sa_bin.189,97.31,0.859
Sa_bin.15,97.17,1.923
Sa_bin.55,97.11,2.403
Sa_bin.5,97.07,2.751
Sa_bin.182,97.01,1.436
Sa_bin.205,96.98,3.853
Sa_bin.164,96.93,2.426
Sa_bin.59,96.83,1.532
Sa_bin.95,96.74,2.969
Sa_bin.166,96.74,0.656
Sa_bin.121,96.73,0.238
