user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
ERR4301269bin.7	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	85.96	11	0.7833963023528971	N/A
ERR4303136bin.34	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus sp900547455	GCA_900547455.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus sp900547455	97.79	0.9	GCA_900547455.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus sp900547455	97.79	0.9	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000435195.1, s__Negativibacillus sp000435195, 95.0, 80.52, 0.62; GCA_900547015.1, s__Negativibacillus sp900547015, 95.0, 79.36, 0.54; GCF_900148495.1, s__Negativibacillus massiliensis, 95.0, 78.68, 0.31	96.86	11	N/A	N/A
ERR4303137bin.12	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1781;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	taxonomic novelty determined using RED	N/A	N/A	46.12	11	0.9345753229493069	N/A
ERR4303137bin.30	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__HGM10873;s__	N/A	N/A	N/A	N/A	N/A	GCF_900753645.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__HGM10873;s__HGM10873 sp900753645	80.47	0.74	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	84.67	11	0.9694258995071392	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
ERR4303137bin.34	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UMGS2069;s__UMGS2069 sp900557695	GCA_900557695.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UMGS2069;s__UMGS2069 sp900557695	98.2	0.9	GCA_900557695.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UMGS2069;s__UMGS2069 sp900557695	98.2	0.9	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UMGS2069;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	86.22	11	N/A	N/A
ERR4303137bin.35	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__	N/A	N/A	N/A	N/A	N/A	GCF_900625105.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp900625105	84.02	0.63	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_900555465.1, s__Agathobaculum sp900555465, 95.0, 82.38, 0.65; GCA_900557315.1, s__Agathobaculum sp900557315, 95.0, 81.34, 0.58; GCF_000701665.1, s__Agathobaculum desmolans, 95.0, 80.78, 0.44; GCF_900291975.1, s__Agathobaculum sp900291975, 95.0, 80.37, 0.47; GCF_003481705.1, s__Agathobaculum sp003481705, 95.0, 80.0, 0.38; GCA_900544475.1, s__Agathobaculum sp900544475, 95.0, 80.0, 0.5; GCF_003096535.1, s__Agathobaculum butyriciproducens, 95.0, 79.86, 0.37	98.71	11	0.9840300519214625	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
ERR4303138bin.28	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	92.02	11	0.8794813928192422	N/A
ERR4303138bin.37	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__CAG-831;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__CAG-831;s__	taxonomic classification defined by topology and ANI	N/A	GCA_000432775.1, s__CAG-831 sp000432775, 95.0, 87.55, 0.72; GCA_900550465.1, s__CAG-831 sp900550465, 95.0, 84.21, 0.7; GCA_902388455.1, s__CAG-831 sp902388455, 95.0, 83.39, 0.62; GCA_900544175.1, s__CAG-831 sp900544175, 95.0, 82.84, 0.47	76.79	11	0.9802642346531056	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
ERR4303139bin.27	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__UBA1417 sp900552925	GCA_900552925.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__UBA1417 sp900552925	98.15	0.95	GCA_900552925.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__UBA1417 sp900552925	98.15	0.95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900549945.1, s__UBA1417 sp900549945, 95.0, 88.45, 0.74; GCA_002305575.1, s__UBA1417 sp002305575, 95.0, 83.48, 0.69; GCA_004555625.1, s__UBA1417 bromii_A, 95.0, 83.13, 0.73; GCA_008681155.1, s__UBA1417 sp003531055, 95.0, 79.96, 0.5	97.62	11	N/A	N/A
ERR4303140bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__ASF356;s__	N/A	N/A	N/A	N/A	N/A	GCF_000364165.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__ASF356;s__ASF356 sp000364165	78.95	0.43	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	97.18	11	0.9289257320664013	N/A
