genome	number of scaffolds	taxonomy	completeness score	contamination score	5S rRNA	16S rRNA	23S rRNA	tRNA count	assembly quality
C04M3_Longread_bin.1	4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775535	93.77	0.0	4 present	4 present	4 present	47	med
C04M3_Longread_bin.11	2	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.95	0.68	3 present	3 present	3 present	53	med
C04M3_Longread_bin.12	3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	97.54	0.377	4 present	4 present	4 present	59	med
C04M3_Longread_bin.13	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	82.24	0.671	2 present	2 present	2 present	44	med
C04M3_Longread_bin.14	8	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	97.58	2.586		5 present	5 present	81	med
C04M3_Longread_bin.15	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium cocleatum	100.0	0.0	5 present	5 present	5 present	60	med
C04M3_Longread_bin.16	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825	99.03	0.0	2 present	2 present	2 present	43	med
C04M3_Longread_bin.17	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella arabinosiphila	93.13	1.773		3 present	3 present	53	med
C04M3_Longread_bin.18	1	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp003979335	95.16	0.0	2 present	C04M3_Longread_bin.18_contig_765 (1578485, 1579977)	2 present	65	med
C04M3_Longread_bin.19	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	98.73	1.424	5 present	5 present	5 present	65	med
C04M3_Longread_bin.2	11	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__UBA7182 sp009774145	99.36	2.056	4 present	4 present	4 present	68	med
C04M3_Longread_bin.21	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403315	90.56	3.065	4 present	4 present	4 present	55	med
C04M3_Longread_bin.22	7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	1.132	5 present	5 present	5 present	56	med
C04M3_Longread_bin.23	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	98.16	3.065		4 present	4 present	76	med
C04M3_Longread_bin.24	2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.88	4 present	4 present	4 present	55	med
C04M3_Longread_bin.25	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__	78.23	2.46	2 present	2 present	2 present	41	med
C04M3_Longread_bin.26	6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305	98.67	0.377	4 present	4 present	4 present	50	med
C04M3_Longread_bin.27	10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002362485	96.85	0.754	4 present	4 present	4 present	51	med
C04M3_Longread_bin.28	7	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	97.58	3.448		5 present	5 present	76	med
C04M3_Longread_bin.29	2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp011959465	99.36	1.265		4 present	4 present	64	med
C04M3_Longread_bin.3	8	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403335	98.16	2.485		5 present	5 present	62	med
C04M3_Longread_bin.30	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	98.27	1.915		4 present	4 present	57	med
C04M3_Longread_bin.31	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	100.0	5.085		4 present	4 present	63	med
C04M3_Longread_bin.32	7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485	99.05	0.377	4 present	4 present	4 present	58	med
C04M3_Longread_bin.33	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp009911035	97.7	1.724	2 present	4 present	4 present	50	med
C04M3_Longread_bin.34	3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	99.43	0.377	4 present	4 present	4 present	51	med
C04M3_Longread_bin.35	3	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	98.73	0.632		5 present	5 present	67	med
C04M3_Longread_bin.36	13	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__	98.66	2.888	3 present	3 present	3 present	50	med
C04M3_Longread_bin.37	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J sp009774535	97.01	1.532		4 present	4 present	52	med
C04M3_Longread_bin.38	2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__	99.36	0.0		4 present	4 present	58	med
C04M3_Longread_bin.4	6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris	99.43	0.377	4 present	4 present	4 present	51	med
C04M3_Longread_bin.5	3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002492595	97.92	0.0	4 present	4 present	4 present	48	med
C04M3_Longread_bin.6	4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689685	94.82	8.62	4 present	4 present	4 present	55	med
C04M3_Longread_bin.7	7	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	98.16	2.274		4 present	4 present	52	med
C04M3_Longread_bin.8	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	93.91	0.335	2 present	2 present	2 present	55	med
C04M3_Longread_bin.9	7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp009775355	97.23	0.377	4 present	4 present	4 present	52	med
C04M3_contig_666	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__	78.23	2.46	2 present	2 present	2 present	41	med
C04M3_contig_765	1	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp003979335	95.16	0.0	2 present	C04M3_contig_765_contig_765 (1578485, 1579977)	2 present	65	med
C04M3_contig_791	1	C04M3_contig_791	0.0	0.0				2	low
C04M3_subsampled_20Gb_Hybrid_bin.1	132	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp000403435	93.46	9.53				39	med
C04M3_subsampled_20Gb_Hybrid_bin.10	356	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	89.68	5.446		C04M3_subsampled_20Gb_Hybrid_bin.10_NODE_8046_length_9832_cov_12.467276 (5609, 7129)	C04M3_subsampled_20Gb_Hybrid_bin.10_NODE_8046_length_9832_cov_12.467276 (7848, 9831)	48	med
C04M3_subsampled_20Gb_Hybrid_bin.11	64	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__	94.35	0.026	2 present	C04M3_subsampled_20Gb_Hybrid_bin.11_NODE_325_length_162804_cov_2.908767 (159228, 160740)	C04M3_subsampled_20Gb_Hybrid_bin.11_NODE_325_length_162804_cov_2.908767 (161387, 162803)	55	med
C04M3_subsampled_20Gb_Hybrid_bin.12	11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002492595	99.43	0.377	2 present	C04M3_subsampled_20Gb_Hybrid_bin.12_NODE_8_length_1323108_cov_61.917140 (565521, 566959)	2 present	48	med
C04M3_subsampled_20Gb_Hybrid_bin.13	236	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	93.02	3.993				38	med
C04M3_subsampled_20Gb_Hybrid_bin.14	345	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp011958945	79.77	1.221				24	med
C04M3_subsampled_20Gb_Hybrid_bin.15	30	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__	99.36	0.0				52	med
C04M3_subsampled_20Gb_Hybrid_bin.16	30	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__	98.66	0.111	C04M3_subsampled_20Gb_Hybrid_bin.16_NODE_117_length_341001_cov_30.550217 (138157, 138259)	C04M3_subsampled_20Gb_Hybrid_bin.16_NODE_117_length_341001_cov_30.550217 (141517, 143013)	C04M3_subsampled_20Gb_Hybrid_bin.16_NODE_117_length_341001_cov_30.550217 (138320, 141151)	45	high
C04M3_subsampled_20Gb_Hybrid_bin.17	33	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305	98.49	0.503		2 present		47	med
C04M3_subsampled_20Gb_Hybrid_bin.18	192	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp011959465	99.36	1.265		3 present	4 present	69	med
C04M3_subsampled_20Gb_Hybrid_bin.19	279	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	83.18	0.829	C04M3_subsampled_20Gb_Hybrid_bin.19_NODE_7783_length_10148_cov_0.900090 (9807, 9901)	C04M3_subsampled_20Gb_Hybrid_bin.19_NODE_935_length_67153_cov_1.166866 (64629, 66158)		44	med
C04M3_subsampled_20Gb_Hybrid_bin.2	91	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp009774375	97.58	2.911				64	med
C04M3_subsampled_20Gb_Hybrid_bin.20	36	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	94.85	0.223	C04M3_subsampled_20Gb_Hybrid_bin.20_NODE_716_length_85744_cov_4.723837 (73966, 74077)	C04M3_subsampled_20Gb_Hybrid_bin.20_NODE_847_length_73885_cov_4.379801 (38841, 40348)	C04M3_subsampled_20Gb_Hybrid_bin.20_NODE_716_length_85744_cov_4.723837 (70969, 73860)	44	high
C04M3_subsampled_20Gb_Hybrid_bin.21	364	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp009774395	82.71	1.312				23	med
C04M3_subsampled_20Gb_Hybrid_bin.22	12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	1.132				54	med
C04M3_subsampled_20Gb_Hybrid_bin.23	80	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	98.41	0.0		5 present	5 present	68	med
C04M3_subsampled_20Gb_Hybrid_bin.24	112	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	90.13	1.275	2 present	C04M3_subsampled_20Gb_Hybrid_bin.24_NODE_1728_length_39395_cov_6.338177 (37061, 38585)		44	med
C04M3_subsampled_20Gb_Hybrid_bin.25	20	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	98.73	1.424	3 present	3 present	5 present	63	med
C04M3_subsampled_20Gb_Hybrid_bin.26	103	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	98.16	1.699				49	med
C04M3_subsampled_20Gb_Hybrid_bin.27	88	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	98.15	2.452				44	med
C04M3_subsampled_20Gb_Hybrid_bin.28	80	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__	94.35	0.026	C04M3_subsampled_20Gb_Hybrid_bin.28_NODE_2152_length_31948_cov_3.367076 (25186, 25293)		C04M3_subsampled_20Gb_Hybrid_bin.28_NODE_2152_length_31948_cov_3.367076 (22189, 25092)	39	med
C04M3_subsampled_20Gb_Hybrid_bin.29	91	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__;s__	100.0	0.943	C04M3_subsampled_20Gb_Hybrid_bin.29_NODE_15073_length_5209_cov_1.405479 (4707, 4777)	C04M3_subsampled_20Gb_Hybrid_bin.29_NODE_355_length_154237_cov_1.976748 (23757, 25277)	C04M3_subsampled_20Gb_Hybrid_bin.29_NODE_355_length_154237_cov_1.976748 (21649, 23545)	36	med
C04M3_subsampled_20Gb_Hybrid_bin.3	59	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J sp009774535	97.58	1.532		4 present	3 present	54	med
C04M3_subsampled_20Gb_Hybrid_bin.30	106	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	96.81	3.448				57	med
C04M3_subsampled_20Gb_Hybrid_bin.31	274	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	92.3	2.325				47	med
C04M3_subsampled_20Gb_Hybrid_bin.32	17	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.754	2 present	C04M3_subsampled_20Gb_Hybrid_bin.32_NODE_13_length_981097_cov_63.204964 (223078, 224065)	C04M3_subsampled_20Gb_Hybrid_bin.32_NODE_184_length_243795_cov_71.925095 (62488, 63473)	45	med
C04M3_subsampled_20Gb_Hybrid_bin.33	35	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775535	97.92	0.0	4 present	4 present	4 present	55	med
C04M3_subsampled_20Gb_Hybrid_bin.34	18	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	97.54	0.377	4 present	4 present	4 present	59	med
